Date,Time,Hour,Day_of_Week,Month,Season,Location,Crime_Type,Severity,Arrest_Made,Population_Density,Weekend,Peak_Hours,Late_Night,Hour_Sin,Hour_Cos,DayOfWeek,Day_Sin,Day_Cos,Month_Sin,Month_Cos,Crime_Severity_Index,Location_Risk_Score,Risk_Time_Interaction,Severity_Density_Ratio,Location_Cluster,Location_Encoded,Crime_Type_Encoded,Day_of_Week_Encoded,Season_Encoded,Loc_Commercial District,Loc_Downtown,Loc_East District,Loc_Industrial Zone,Loc_North District,Loc_Residential Area,Loc_South District,Loc_Suburban Area,Loc_University Area,Loc_West District,Crime_Assault,Crime_Burglary,Crime_Cybercrime,Crime_Domestic Violence,Crime_Drug Offense,Crime_Fraud,Crime_Public Disorder,Crime_Robbery,Crime_Theft,Crime_Trespassing,Crime_Vandalism,Crime_Vehicle Theft,Risk_Score,Risk_Level,Risk_Level_Encoded
2025-01-08,08:00,8,Wednesday,1,Winter,University Area,Burglary,6,True,6630,False,False,False,0.8660254037844387,-0.4999999999999998,0,0.0,1.0,0.49999999999999994,0.8660254037844387,1.8,1.4,0.0,0.9049773755656109,1,8,1,6,3,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,0.26666666666666666,Low,0
2022-11-27,12:00,12,Sunday,11,Autumn,Downtown,Fraud,5,False,8491,True,False,False,1.2246467991473532e-16,-1.0,1,0.7818314824680298,0.6234898018587336,-0.5000000000000004,0.8660254037844384,1.5,2.5,0.0,0.5888587916617596,2,1,5,3,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.38333333333333336,Low,0
2024-11-14,00:00,0,Thursday,11,Autumn,Residential Area,Burglary,7,False,3047,False,False,True,0.0,1.0,2,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384,1.8,1.0,0.0,2.2973416475221526,1,5,1,4,0,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.2583333333333333,Low,0
2025-01-04,11:00,11,Saturday,1,Winter,Suburban Area,Theft,4,False,2286,True,False,False,0.258819045102521,-0.9659258262890682,3,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,1.2,0.8,0.0,1.7497812773403325,1,7,8,2,3,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.21666666666666667,Low,0
2025-04-15,09:00,9,Tuesday,4,Spring,West District,Burglary,7,False,4146,False,False,False,0.7071067811865476,-0.7071067811865475,4,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,1.8,1.6,0.0,1.688374336710082,1,9,1,5,1,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,0.30833333333333335,Low,0
2022-09-21,14:00,14,Wednesday,9,Autumn,Downtown,Domestic Violence,9,False,8776,False,False,False,-0.4999999999999997,-0.8660254037844388,5,-0.9749279121818236,-0.2225209339563146,-1.0,-1.8369701987210297e-16,2.8,2.5,0.0,1.025524156791249,2,1,3,6,0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.43333333333333335,Medium,1
2024-03-18,10:00,10,Monday,3,Spring,North District,Fraud,4,False,3734,False,False,False,0.49999999999999994,-0.8660254037844387,6,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,1.5,1.8,0.0,1.0712372790573113,1,4,5,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.25,Low,0
2023-03-25,13:00,13,Saturday,3,Spring,North District,Drug Offense,6,True,3805,True,False,False,-0.2588190451025208,-0.9659258262890683,0,0.0,1.0,1.0,6.123233995736766e-17,2.0,1.8,0.0,1.5768725361366622,1,4,4,2,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.35,Low,0
2024-08-03,20:00,20,Saturday,8,Summer,East District,Vandalism,3,False,3270,True,True,False,-0.8660254037844386,0.5000000000000001,1,0.7818314824680298,0.6234898018587336,-0.8660254037844385,-0.5000000000000004,0.8,1.3,1.3,0.9174311926605504,1,2,10,2,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.30833333333333335,Low,0
2023-11-30,16:00,16,Thursday,11,Autumn,West District,Cybercrime,3,False,3837,False,False,False,-0.8660254037844385,-0.5000000000000004,2,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384,1.3,1.6,0.0,0.7818608287724784,1,9,2,4,0,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,0.20833333333333331,Low,0
